epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,4697.73,0.79927,1.11491,0.76883,0.0065,0.51722,0.49689,0.7705,0.56261,0.46887,0.50436,0.78083,0.5702,0.46397,0.72382,0.99251,0.78952,0.0078,0,0.000230806,0.000230806,0.000230806
40,4815.38,0.79081,1.11825,0.76778,0.00644,0.51698,0.55101,0.82559,0.64837,0.53871,0.55573,0.81903,0.65306,0.52936,0.69128,0.9829,0.63549,0.00743,0,0.000227143,0.000227143,0.000227143
41,4933.38,0.78062,1.1012,0.75628,0.00633,0.52349,0.53243,0.80902,0.62366,0.52552,0.53542,0.81068,0.63365,0.51377,0.68351,0.98782,0.67291,0.00731,0,0.00022348,0.00022348,0.00022348
42,5053.34,0.77559,1.09661,0.74298,0.00628,0.49836,0.6017,0.82284,0.67938,0.56984,0.60459,0.82391,0.68778,0.55663,0.68139,0.96581,0.56938,0.00726,0,0.000219817,0.000219817,0.000219817
43,5172.86,0.7868,1.10759,0.743,0.00638,0.50725,0.54893,0.80487,0.65356,0.55128,0.5574,0.817,0.66148,0.5354,0.67483,0.96449,0.62849,0.00718,0,0.000216154,0.000216154,0.000216154
44,5290.71,0.77751,1.09826,0.73307,0.00624,0.50144,0.58245,0.79908,0.67423,0.5633,0.5882,0.80596,0.68228,0.54938,0.68715,0.98233,0.60449,0.00729,0,0.000212491,0.000212491,0.000212491
45,5409.2,0.77895,1.08766,0.71809,0.00631,0.49691,0.594,0.80336,0.67587,0.56484,0.5927,0.79676,0.67696,0.55029,0.68947,0.95558,0.60059,0.00743,0,0.000208828,0.000208828,0.000208828
46,5528.49,0.77827,1.09099,0.71424,0.0063,0.48513,0.53551,0.78797,0.63382,0.53316,0.54809,0.79137,0.64238,0.52291,0.67156,0.9606,0.66133,0.00713,0,0.000205165,0.000205165,0.000205165
47,5648.45,0.76815,1.08088,0.71508,0.00618,0.48247,0.57848,0.80951,0.65678,0.54849,0.5764,0.79904,0.65404,0.53622,0.67646,0.95691,0.64206,0.00713,0,0.000201502,0.000201502,0.000201502
48,5767.65,0.76244,1.07524,0.69257,0.00611,0.48344,0.55626,0.80773,0.63833,0.53685,0.55984,0.81269,0.64469,0.52423,0.67346,0.94786,0.63921,0.00709,0,0.000197839,0.000197839,0.000197839
49,5886.74,0.76741,1.06625,0.70234,0.00617,0.482,0.56451,0.77021,0.62352,0.52439,0.56404,0.76832,0.62647,0.51193,0.67332,0.95758,0.64979,0.00713,0,0.000194176,0.000194176,0.000194176
